Model Year,Mfr Name,Carline,City MPG,Hwy MPG,Comb MPG,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted,Comb CO2 Rounded Adjusted (as shown on FE Label)
2026,aston martin,Vanquish,13,21,16,671,431,563
2026,aston martin,Vanquish Volante,13,20,16,669,444,567
2026,aston martin,Vantage,15,22,18,579,399,498
2026,BMW,Z4 M40i,23,29,25,386,297,346
2026,BMW,Z4 M40i,19,26,22,469,332,407
2026,BMW,Z4 sDrive30i,25,33,28,351,266,312
2026,General Motors,CORVETTE,16,25,19,571,356,474
2026,General Motors,CORVETTE E-RAY,16,24,19,566,368,477
2026,General Motors,CORVETTE Z06,12,21,15,731,433,597
2026,General Motors,CORVETTE Z06 CARBON AERO,12,19,14,755,479,631
2026,General Motors,CORVETTE ZR1,12,18,14,738,495,629
2026,Ferrari,12Cilindri,12,19,14,736,477,619
2026,Ferrari,12Cilindri Spider,12,17,14,735,508,633
2026,Mercedes-Benz,AMG GT 55 4MATIC+ (coupe),14,20,16,657,436,558
2026,Mercedes-Benz,AMG GT 63 4MATIC+ (coupe),14,20,16,657,436,558
2026,Mercedes-Benz,AMG GT 63 PRO 4MATIC+ (coupe),14,20,16,657,436,558
2026,Nissan,Z,18,24,20,489,368,435
2026,Nissan,Z,19,28,22,469,318,405
2026,Nissan,Z NISMO,17,24,19,524,371,469
2026,BMW,Supra 2.0,25,31,27,350,288,322
2026,BMW,Supra 3.0,22,29,25,391,298,349
2026,BMW,Supra 3.0,19,26,21,468,334,408
2026,aston martin,DB12 V8,15,22,17,599,395,507
2026,Ferrari,Roma Spider,17,22,19,524,397,467
2026,Toyota,LC 500 CONVERTIBLE,15,25,18,598,356,489
2026,Mercedes-Benz,AMG SL 43,19,27,22,459,329,400
2026,Mercedes-Benz,AMG SL 55 4MATIC+,14,21,16,651,430,552
2026,Mercedes-Benz,AMG SL 63 4MATIC+,14,21,16,651,430,552
2026,Mercedes-Benz,SL 680 Maybach,13,20,16,659,434,558
2026,BMW,Cooper C Convertible,27,37,30,327,238,287
2026,BMW,Cooper S Convertible,26,36,30,330,245,292
2026,BMW,JCW Convertible,26,35,30,335,247,296
2026,Porsche,911 Carrera,18,25,21,486,348,424
2026,Porsche,911 Carrera 4 GTS,17,23,19,523,387,468
2026,Porsche,911 Carrera 4 GTS Cabriolet,17,23,19,520,388,469
2026,Porsche,911 Carrera Cabriolet,18,25,21,489,354,429
2026,Porsche,911 Carrera GTS,17,24,20,522,367,453
2026,Porsche,911 Carrera GTS Cabriolet,17,23,19,522,386,467
2026,Porsche,911 Carrera S,17,24,20,524,371,445
2026,Porsche,911 Carrera S Cabriolet,17,24,20,524,372,455
2026,Porsche,911 Carrera T,17,25,20,523,356,448
2026,Porsche,911 Carrera T Cabriolet,17,25,19,526,356,469
2026,Porsche,911 Targa 4 GTS,17,23,19,523,385,467
2026,Subaru,BRZ,20,27,22,453,333,399
2026,Subaru,BRZ,21,30,25,419,292,362
2026,Volkswagen Group of,A3 quattro,24,34,28,370,265,323
2026,Volkswagen Group of,RS 3,20,29,23,450,310,387
2026,Volkswagen Group of,S3,23,31,26,394,288,346
2026,BMW,230i Coupe,26,35,30,333,251,296
2026,BMW,230i xDrive Coupe,25,33,28,355,262,313
2026,BMW,430i Convertible,27,35,30,329,253,295
2026,BMW,430i Coupe,28,36,31,315,248,285
2026,BMW,430i xDrive Convertible,24,33,28,359,263,316
2026,BMW,430i xDrive Coupe,27,34,30,325,256,294
2026,BMW,840i Convertible,21,29,24,420,305,368
2026,BMW,840i Coupe,21,29,24,420,305,368
2026,BMW,840i xDrive Convertible,21,29,24,426,308,373
2026,BMW,840i xDrive Coupe,21,29,24,426,308,373
2026,BMW,M2 Coupe,16,23,19,552,377,473
2026,BMW,M2 Coupe,16,23,19,535,381,466
2026,BMW,M2 Coupe CS,16,23,19,551,382,475
2026,BMW,M240i Coupe,23,32,26,391,276,339
2026,BMW,M240i xDrive Coupe,23,32,26,387,274,336
2026,BMW,M4 Competition Coupe,16,23,19,541,383,470
2026,BMW,M4 Competition M xDrive Coupe,16,23,18,547,381,472
2026,BMW,M4 Coupe,16,23,19,548,379,472
