make,model,year,city_mpg,hwy_mpg,comb_mpg,city_co2,hwy_co2,comb_co2
aston martin,Vanquish,2026,13,21,16,671,431,563
aston martin,Vanquish Volante,2026,13,20,16,669,444,567
aston martin,Vantage,2026,15,22,18,579,399,498
BMW,Z4 M40i,2026,23,29,25,386,297,346
BMW,Z4 M40i,2026,19,26,22,469,332,407
BMW,Z4 sDrive30i,2026,25,33,28,351,266,312
General Motors,CORVETTE,2026,16,25,19,571,356,474
General Motors,CORVETTE E-RAY,2026,16,24,19,566,368,477
General Motors,CORVETTE Z06,2026,12,21,15,731,433,597
General Motors,CORVETTE Z06 CARBON AERO,2026,12,19,14,755,479,631
General Motors,CORVETTE ZR1,2026,12,18,14,738,495,629
Ferrari,12Cilindri,2026,12,19,14,736,477,619
Ferrari,12Cilindri Spider,2026,12,17,14,735,508,633
Mercedes-Benz,AMG GT 55 4MATIC+ (coupe),2026,14,20,16,657,436,558
Mercedes-Benz,AMG GT 63 4MATIC+ (coupe),2026,14,20,16,657,436,558
Mercedes-Benz,AMG GT 63 PRO 4MATIC+ (coupe),2026,14,20,16,657,436,558
Nissan,Z,2026,18,24,20,489,368,435
Nissan,Z,2026,19,28,22,469,318,405
Nissan,Z NISMO,2026,17,24,19,524,371,469
BMW,Supra 2.0,2026,25,31,27,350,288,322
BMW,Supra 3.0,2026,22,29,25,391,298,349
BMW,Supra 3.0,2026,19,26,21,468,334,408
aston martin,DB12 V8,2026,15,22,17,599,395,507
Ferrari,Roma Spider,2026,17,22,19,524,397,467
Toyota,LC 500 CONVERTIBLE,2026,15,25,18,598,356,489
Mercedes-Benz,AMG SL 43,2026,19,27,22,459,329,400
Mercedes-Benz,AMG SL 55 4MATIC+,2026,14,21,16,651,430,552
Mercedes-Benz,AMG SL 63 4MATIC+,2026,14,21,16,651,430,552
Mercedes-Benz,SL 680 Maybach,2026,13,20,16,659,434,558
BMW,Cooper C Convertible,2026,27,37,30,327,238,287
BMW,Cooper S Convertible,2026,26,36,30,330,245,292
BMW,JCW Convertible,2026,26,35,30,335,247,296
Porsche,911 Carrera,2026,18,25,21,486,348,424
Porsche,911 Carrera 4 GTS,2026,17,23,19,523,387,468
Porsche,911 Carrera 4 GTS Cabriolet,2026,17,23,19,520,388,469
Porsche,911 Carrera Cabriolet,2026,18,25,21,489,354,429
Porsche,911 Carrera GTS,2026,17,24,20,522,367,453
Porsche,911 Carrera GTS Cabriolet,2026,17,23,19,522,386,467
Porsche,911 Carrera S,2026,17,24,20,524,371,445
Porsche,911 Carrera S Cabriolet,2026,17,24,20,524,372,455
Porsche,911 Carrera T,2026,17,25,20,523,356,448
Porsche,911 Carrera T Cabriolet,2026,17,25,19,526,356,469
Porsche,911 Targa 4 GTS,2026,17,23,19,523,385,467
Subaru,BRZ,2026,20,27,22,453,333,399
Subaru,BRZ,2026,21,30,25,419,292,362
Volkswagen Group of,A3 quattro,2026,24,34,28,370,265,323
Volkswagen Group of,RS 3,2026,20,29,23,450,310,387
Volkswagen Group of,S3,2026,23,31,26,394,288,346
BMW,230i Coupe,2026,26,35,30,333,251,296
BMW,230i xDrive Coupe,2026,25,33,28,355,262,313
BMW,430i Convertible,2026,27,35,30,329,253,295
BMW,430i Coupe,2026,28,36,31,315,248,285
BMW,430i xDrive Convertible,2026,24,33,28,359,263,316
BMW,430i xDrive Coupe,2026,27,34,30,325,256,294
BMW,840i Convertible,2026,21,29,24,420,305,368
BMW,840i Coupe,2026,21,29,24,420,305,368
BMW,840i xDrive Convertible,2026,21,29,24,426,308,373
BMW,840i xDrive Coupe,2026,21,29,24,426,308,373
BMW,M2 Coupe,2026,16,23,19,552,377,473
BMW,M2 Coupe,2026,16,23,19,535,381,466
BMW,M2 Coupe CS,2026,16,23,19,551,382,475
BMW,M240i Coupe,2026,23,32,26,391,276,339
BMW,M240i xDrive Coupe,2026,23,32,26,387,274,336
BMW,M4 Competition Coupe,2026,16,23,19,541,383,470
BMW,M4 Competition M xDrive Coupe,2026,16,23,18,547,381,472
BMW,M4 Coupe,2026,16,23,19,548,379,472
BMW,M440i Convertible,2026,27,33,29,327,266,300
BMW,M440i Coupe,2026,27,34,30,323,262,296
BMW,M440i xDrive Convertible,2026,25,32,28,344,273,312
BMW,M440i xDrive Coupe,2026,26,33,29,332,263,301
BMW,M4CompetitionMxDriveConvertible,2026,16,22,18,553,388,479
BMW,M850i xDrive Convertible,2026,17,24,19,526,371,456
BMW,M850i xDrive Coupe,2026,17,24,19,526,371,456
Ford Motor Company,MUSTANG,2026,16,24,19,558,370,468
Ford Motor Company,MUSTANG,2026,15,23,18,586,386,494
Ford Motor Company,MUSTANG,2026,22,33,26,404,269,341
Ford Motor Company,MUSTANG DARK HORSE,2026,14,22,17,619,410,525
Ford Motor Company,MUSTANG DARK HORSE,2026,14,22,17,638,405,533
Toyota,LC 500,2026,16,24,18,573,368,481
Maserati,Grancabrio,2026,17,26,20,512,330,430
Maserati,Grancabrio Trofeo,2026,17,26,20,512,330,430
Maserati,Granturismo,2026,18,27,21,489,318,412
Maserati,Granturismo Trofeo,2026,18,27,21,489,318,412
Mercedes-Benz,AMG CLE 53 4MATIC+ (convertible),2026,19,26,22,459,346,408
Mercedes-Benz,AMG CLE 53 4MATIC+ (coupe),2026,20,27,23,444,327,391
Mercedes-Benz,AMG GT 43 (coupe),2026,19,27,22,464,333,405
Mercedes-Benz,CLE 300 4MATIC (convertible),2026,23,32,26,389,279,340
Mercedes-Benz,CLE 300 4MATIC (Coupe),2026,24,33,27,368,268,323
Mercedes-Benz,CLE 450 4MATIC (Convertible),2026,23,32,26,386,279,338
Mercedes-Benz,CLE 450 4MATIC (Coupe),2026,23,33,26,394,271,339
BMW,Cooper C 2 Door,2026,27,39,32,320,227,278
BMW,Cooper S 2 Door,2026,28,39,32,315,225,275
BMW,JCW 2 Door,2026,27,37,30,328,238,288
BMW,228 Gran Coupe,2026,27,39,31,323,225,279
BMW,228 xDrive Gran Coupe,2026,26,38,30,333,233,288
BMW,330i Sedan,2026,28,35,31,317,248,286
BMW,330i xDrive Sedan,2026,26,34,29,332,256,298
BMW,430i Gran Coupe,2026,27,35,30,320,252,290
BMW,430i xDrive Gran Coupe,2026,25,34,29,345,257,305
