make,model,year,fuel_type,co2_per_km
aston martin,Vanquish,2026,petrol,
aston martin,Vanquish Volante,2026,petrol,
aston martin,Vantage,2026,petrol,
BMW,Z4 M40i,2026,petrol,
BMW,Z4 M40i,2026,petrol,
BMW,Z4 sDrive30i,2026,petrol,
General Motors,CORVETTE,2026,petrol,
General Motors,CORVETTE E-RAY,2026,petrol,
General Motors,CORVETTE Z06,2026,petrol,
General Motors,CORVETTE Z06 CARBON AERO,2026,petrol,
General Motors,CORVETTE ZR1,2026,petrol,
Ferrari,12Cilindri,2026,petrol,
Ferrari,12Cilindri Spider,2026,petrol,
Mercedes-Benz,AMG GT 55 4MATIC+ (coupe),2026,petrol,
Mercedes-Benz,AMG GT 63 4MATIC+ (coupe),2026,petrol,
Mercedes-Benz,AMG GT 63 PRO 4MATIC+ (coupe),2026,petrol,
Nissan,Z,2026,petrol,
Nissan,Z,2026,petrol,
Nissan,Z NISMO,2026,petrol,
BMW,Supra 2.0,2026,petrol,
BMW,Supra 3.0,2026,petrol,
BMW,Supra 3.0,2026,petrol,
aston martin,DB12 V8,2026,petrol,
Ferrari,Roma Spider,2026,petrol,
Toyota,LC 500 CONVERTIBLE,2026,petrol,
Mercedes-Benz,AMG SL 43,2026,petrol,
Mercedes-Benz,AMG SL 55 4MATIC+,2026,petrol,
Mercedes-Benz,AMG SL 63 4MATIC+,2026,petrol,
Mercedes-Benz,SL 680 Maybach,2026,petrol,
BMW,Cooper C Convertible,2026,petrol,
BMW,Cooper S Convertible,2026,petrol,
BMW,JCW Convertible,2026,petrol,
Porsche,911 Carrera,2026,petrol,
Porsche,911 Carrera 4 GTS,2026,petrol,
Porsche,911 Carrera 4 GTS Cabriolet,2026,petrol,
Porsche,911 Carrera Cabriolet,2026,petrol,
Porsche,911 Carrera GTS,2026,petrol,
Porsche,911 Carrera GTS Cabriolet,2026,petrol,
Porsche,911 Carrera S,2026,petrol,
Porsche,911 Carrera S Cabriolet,2026,petrol,
Porsche,911 Carrera T,2026,petrol,
Porsche,911 Carrera T Cabriolet,2026,petrol,
Porsche,911 Targa 4 GTS,2026,petrol,
Subaru,BRZ,2026,petrol,
Subaru,BRZ,2026,petrol,
Volkswagen Group of,A3 quattro,2026,petrol,
Volkswagen Group of,RS 3,2026,petrol,
Volkswagen Group of,S3,2026,petrol,
BMW,230i Coupe,2026,petrol,
BMW,230i xDrive Coupe,2026,petrol,
BMW,430i Convertible,2026,petrol,
BMW,430i Coupe,2026,petrol,
BMW,430i xDrive Convertible,2026,petrol,
BMW,430i xDrive Coupe,2026,petrol,
BMW,840i Convertible,2026,petrol,
BMW,840i Coupe,2026,petrol,
BMW,840i xDrive Convertible,2026,petrol,
BMW,840i xDrive Coupe,2026,petrol,
BMW,M2 Coupe,2026,petrol,
BMW,M2 Coupe,2026,petrol,
BMW,M2 Coupe CS,2026,petrol,
BMW,M240i Coupe,2026,petrol,
BMW,M240i xDrive Coupe,2026,petrol,
BMW,M4 Competition Coupe,2026,petrol,
BMW,M4 Competition M xDrive Coupe,2026,petrol,
BMW,M4 Coupe,2026,petrol,
BMW,M440i Convertible,2026,petrol,
BMW,M440i Coupe,2026,petrol,
BMW,M440i xDrive Convertible,2026,petrol,
BMW,M440i xDrive Coupe,2026,petrol,
BMW,M4CompetitionMxDriveConvertible,2026,petrol,
BMW,M850i xDrive Convertible,2026,petrol,
BMW,M850i xDrive Coupe,2026,petrol,
Ford Motor Company,MUSTANG,2026,petrol,
Ford Motor Company,MUSTANG,2026,petrol,
Ford Motor Company,MUSTANG,2026,petrol,
Ford Motor Company,MUSTANG DARK HORSE,2026,petrol,
Ford Motor Company,MUSTANG DARK HORSE,2026,petrol,
Toyota,LC 500,2026,petrol,
Maserati,Grancabrio,2026,petrol,
Maserati,Grancabrio Trofeo,2026,petrol,
Maserati,Granturismo,2026,petrol,
Maserati,Granturismo Trofeo,2026,petrol,
Mercedes-Benz,AMG CLE 53 4MATIC+ (convertible),2026,petrol,
Mercedes-Benz,AMG CLE 53 4MATIC+ (coupe),2026,petrol,
Mercedes-Benz,AMG GT 43 (coupe),2026,petrol,
Mercedes-Benz,CLE 300 4MATIC (convertible),2026,petrol,
Mercedes-Benz,CLE 300 4MATIC (Coupe),2026,petrol,
Mercedes-Benz,CLE 450 4MATIC (Convertible),2026,petrol,
Mercedes-Benz,CLE 450 4MATIC (Coupe),2026,petrol,
BMW,Cooper C 2 Door,2026,petrol,
BMW,Cooper S 2 Door,2026,petrol,
BMW,JCW 2 Door,2026,petrol,
BMW,228 Gran Coupe,2026,petrol,
BMW,228 xDrive Gran Coupe,2026,petrol,
BMW,330i Sedan,2026,petrol,
BMW,330i xDrive Sedan,2026,petrol,
BMW,430i Gran Coupe,2026,petrol,
BMW,430i xDrive Gran Coupe,2026,petrol,
BMW,M235 xDrive Gran Coupe,2026,petrol,
BMW,M3 Competition M xDrive Sedan,2026,petrol,
BMW,M3 Competition Sedan,2026,petrol,
BMW,M3 Sedan,2026,petrol,
BMW,M340i Sedan,2026,petrol,
BMW,M340i xDrive Sedan,2026,petrol,
BMW,M440i Gran Coupe,2026,petrol,
BMW,M440i xDrive Gran Coupe,2026,petrol,
General Motors,CT4,2026,petrol,
General Motors,CT4,2026,petrol,
General Motors,CT4 AWD,2026,petrol,
General Motors,CT4 AWD ,2026,petrol,
General Motors,CT4 V,2026,petrol,
General Motors,CT4 V,2026,petrol,
General Motors,CT4 V,2026,petrol,
General Motors,CT4 V AWD,2026,petrol,
Ferrari,Purosangue,2026,petrol,
Hyundai,G70 AWD,2026,petrol,
Hyundai,G70 AWD,2026,petrol,
Hyundai,G70 RWD,2026,petrol,
Hyundai,G70 RWD,2026,petrol,
MAZDA,MAZDA3 4-Door 2WD,2026,petrol,
MAZDA,MAZDA3 4-Door 4WD,2026,petrol,
MAZDA,MAZDA3 4-Door 4WD,2026,petrol,
Mercedes-Benz,AMG C 43 4MATIC,2026,petrol,
Mercedes-Benz,AMG CLA 35 4MATIC,2026,petrol,
Mercedes-Benz,AMG CLA 45 S 4MATIC,2026,petrol,
Mercedes-Benz,C 300,2026,petrol,
Mercedes-Benz,C 300 4MATIC,2026,petrol,
Mercedes-Benz,CLA 250,2026,petrol,
Mercedes-Benz,CLA 250 4MATIC,2026,petrol,
BMW,Cooper C 4 Door,2026,petrol,
BMW,Cooper S 4 Door,2026,petrol,
Toyota,COROLLA,2026,petrol,
Toyota,COROLLA,2026,petrol,
Toyota,COROLLA,2026,petrol,
Toyota,COROLLA HATCHBACK,2026,petrol,
Toyota,COROLLA HATCHBACK FX,2026,petrol,
Toyota,COROLLA HATCHBACK XSE,2026,petrol,
Toyota,COROLLA HYBRID,2026,petrol,
Toyota,COROLLA HYBRID,2026,petrol,
Toyota,COROLLA HYBRID AWD,2026,petrol,
Toyota,COROLLA HYBRID AWD,2026,petrol,
Volkswagen Group of,GLI,2026,petrol,
Volkswagen Group of,GLI,2026,petrol,
Volkswagen Group of,Jetta,2026,petrol,
Volkswagen Group of,Jetta Sport/SE/SEL,2026,petrol,
Volkswagen Group of,RS 7,2026,petrol,
BMW,530i Sedan,2026,petrol,
BMW,530i xDrive Sedan,2026,petrol,
BMW,540i xDrive Sedan,2026,petrol,
BMW,840i Gran Coupe,2026,petrol,
BMW,840i xDrive Gran Coupe,2026,petrol,
BMW,M850i xDrive Gran Coupe,2026,petrol,
General Motors,CT5,2026,petrol,
General Motors,CT5,2026,petrol,
General Motors,CT5 AWD,2026,petrol,
General Motors,CT5 AWD,2026,petrol,
General Motors,CT5 V,2026,petrol,
General Motors,CT5 V,2026,petrol,
General Motors,CT5 V,2026,petrol,
General Motors,CT5 V AWD,2026,petrol,
Honda,CIVIC 4Dr,2026,petrol,
Honda,CIVIC 4Dr,2026,petrol,
Honda,CIVIC 4Dr,2026,petrol,
Honda,CIVIC 4Dr,2026,petrol,
Hyundai,Elantra,2026,petrol,
Hyundai,Elantra Hybrid,2026,petrol,
Hyundai,Elantra Hybrid Blue,2026,petrol,
Hyundai,Elantra N,2026,petrol,
Hyundai,Elantra N,2026,petrol,
Hyundai,Elantra non-ISG,2026,petrol,
Hyundai,Elantra w/ Stop-Start,2026,petrol,
MAZDA,MAZDA3 5-Door 2WD,2026,petrol,
MAZDA,MAZDA3 5-Door 2WD,2026,petrol,
MAZDA,MAZDA3 5-Door 4WD,2026,petrol,
MAZDA,MAZDA3 5-Door 4WD,2026,petrol,
Mercedes-Benz,E 350,2026,petrol,
Mercedes-Benz,E 350 4MATIC,2026,petrol,
Mercedes-Benz,E 450 4MATIC,2026,petrol,
Toyota,CAMRY HEV AWD LE,2026,petrol,
Toyota,CAMRY HEV AWD SE/XLE,2026,petrol,
Toyota,CAMRY HEV AWD XSE,2026,petrol,
Toyota,CAMRY HEV FF LE,2026,petrol,
Toyota,CAMRY HEV FF SE/XLE/XSE,2026,petrol,
Toyota,PRIUS,2026,petrol,
Toyota,PRIUS AWD,2026,petrol,
Toyota,PRIUS AWD XLE/LTD,2026,petrol,
Toyota,PRIUS XLE/LTD,2026,petrol,
Toyota,TOYOTA CROWN AWD,2026,petrol,
Toyota,TOYOTA CROWN AWD Hybrid,2026,petrol,
Volkswagen Group of,Golf R,2026,petrol,
Volkswagen Group of,GTI,2026,petrol,
Volvo,S90 B5,2026,petrol,
Honda,INTEGRA,2026,petrol,
Honda,INTEGRA,2026,petrol,
Honda,INTEGRA A-SPEC,2026,petrol,
Honda,INTEGRA A-SPEC,2026,petrol,
Volkswagen Group of,A8 quattro,2026,petrol,
Volkswagen Group of,S8,2026,petrol,
BMW,740i Sedan,2026,petrol,
BMW,740i xDrive Sedan,2026,petrol,
BMW,760i xDrive Sedan,2026,petrol,
Hyundai,G80 AWD,2026,petrol,
Hyundai,G80 AWD,2026,petrol,
Hyundai,G90 AWD,2026,petrol,
Hyundai,G90 MHEV,2026,petrol,
Honda,CIVIC 5Dr,2026,petrol,
Honda,CIVIC 5Dr,2026,petrol,
Hyundai,Sonata AWD,2026,petrol,
Hyundai,Sonata FWD,2026,petrol,
Hyundai,Sonata FWD,2026,petrol,
Hyundai,Sonata FWD w/ STOP-START,2026,petrol,
Hyundai,Sonata Hybrid,2026,petrol,
Hyundai,Sonata Hybrid Blue,2026,petrol,
Kia,K5,2026,petrol,
Kia,K5,2026,petrol,
Kia,K5 AWD,2026,petrol,
Kia,K5 w/ Stop-Start,2026,petrol,
Mercedes-Benz,S 500 4MATIC,2026,petrol,
Mercedes-Benz,S 580 4MATIC,2026,petrol,
Mercedes-Benz,S 580 4MATIC Maybach,2026,petrol,
Mercedes-Benz,S 680 4MATIC Maybach,2026,petrol,
Porsche,Panamera,2026,petrol,
Porsche,Panamera 4,2026,petrol,
Rolls-Royce,Black Badge Ghost,2026,petrol,
Rolls-Royce,Ghost,2026,petrol,
Rolls-Royce,Ghost Extended,2026,petrol,
Rolls-Royce,Phantom,2026,petrol,
Rolls-Royce,Phantom Extended,2026,petrol,
General Motors,ENVISTA,2026,petrol,
General Motors,ENVISTA (Flex Fuel),2026,petrol,
General Motors,TRAX,2026,petrol,
General Motors,TRAX (Flex Fuel),2026,petrol,
Honda,HR-V AWD,2026,petrol,
Honda,HR-V FWD,2026,petrol,
Mercedes-Benz,AMG GLA 35 4MATIC,2026,petrol,
Mercedes-Benz,AMG GLC 43 4MATIC,2026,petrol,
Mercedes-Benz,AMG GLC 43 4MATIC (coupe),2026,petrol,
Mercedes-Benz,AMG GT 43 4MATIC+,2026,petrol,
Mercedes-Benz,AMG GT 53 4MATIC+,2026,petrol,
Mercedes-Benz,AMG GT 63 4MATIC+,2026,petrol,
Subaru,IMPREZA,2026,petrol,
Subaru,IMPREZA,2026,petrol,
Volvo,V60CC B5 AWD,2026,petrol,
Volkswagen Group of,A6 allroad quattro,2026,petrol,
Volkswagen Group of,RS 6 Avant,2026,petrol,
Honda,CR-V FWD,2026,petrol,
Honda,CR-V FWD,2026,petrol,
Mercedes-Benz,AMG GLB 35 4MATIC,2026,petrol,
Mercedes-Benz,E 450 4MATIC All-Terrain Wagon,2026,petrol,
Volvo,V90CC B6 AWD,2026,petrol,
General Motors,COLORADO 2WD,2026,petrol,
General Motors,SILVERADO 2WD ,2026,petrol,
General Motors,SILVERADO 2WD (5.3L with Sport Mode),2026,petrol,
General Motors,SILVERADO 2WD (5.3L),2026,petrol,
General Motors,SILVERADO 2WD 3M,2026,petrol,
General Motors,SILVERADO 2WD M5,2026,petrol,
General Motors,CANYON 2WD,2026,petrol,
General Motors,SIERRA 2WD,2026,petrol,
General Motors,SIERRA 2WD,2026,petrol,
General Motors,SIERRA 2WD 3M,2026,petrol,
General Motors,SIERRA 2WD M5,2026,petrol,
General Motors,SIERRA 2WD with Sport Mode,2026,petrol,
Nissan,FRONTIER 2WD,2026,petrol,
FCA US LLC,1500 4X2,2026,petrol,
FCA US LLC,1500 4X2,2026,petrol,
Toyota,TUNDRA 2WD,2026,petrol,
Toyota,TUNDRA 2WD,2026,petrol,
Toyota,TUNDRA 2WD Hybrid,2026,petrol,
Toyota,TUNDRA 2WD HYBRID TRD Perf,2026,petrol,
Toyota,TUNDRA 2WD TRD Perf,2026,petrol,
General Motors,COLORADO 4WD,2026,petrol,
General Motors,COLORADO 4WD MUD TERRAIN TIRES,2026,petrol,
General Motors,COLORADO ZR2 4WD,2026,petrol,
General Motors,COLORADO ZR2 BISON 4WD,2026,petrol,
General Motors,SILVERADO 4WD,2026,petrol,
General Motors,SILVERADO 4WD,2026,petrol,
General Motors,SILVERADO 4WD  (Flex Fuel),2026,petrol,
General Motors,SILVERADO 4WD (5.3 L),2026,petrol,
General Motors,SILVERADO 4WD 4M,2026,petrol,
General Motors,SILVERADO 4WD M6 with Sport Mode,2026,petrol,
General Motors,SILVERADO 4WD MUD TERRAIN TIRE,2026,petrol,
General Motors,SILVERADO 4WD MUD TERRAIN TIRE  (Flex Fuel),2026,petrol,
General Motors,SILVERADO 4WD MUD TERRAIN TIRE (6.2 L),2026,petrol,
General Motors,SILVERADO 4WD MUD TERRAIN TIRE 4M,2026,petrol,
General Motors,SILVERADO 4WD MUD TERRAIN TIRE M6,2026,petrol,
General Motors,SILVERADO 4WD MUD TERRAIN TIRE with Sport Mode,2026,petrol,
General Motors,SILVERADO 4WD MUD TERRAIN TIRES,2026,petrol,
General Motors,SILVERADO 4WD MUD TERRAIN TIRES w/ Sport and Off Road Mode,2026,petrol,
General Motors,SILVERADO 4WD w/ Sport and Off Road Mode,2026,petrol,
General Motors,SILVERADO 4WD with Sport Mode,2026,petrol,
General Motors,SILVERADO 4WD ZR2,2026,petrol,
General Motors,SILVERADO 4WD ZR2  w/ Sport and Off Road Mode,2026,petrol,
General Motors,CANYON 4WD,2026,petrol,
General Motors,CANYON AT4X 4WD,2026,petrol,
General Motors,CANYON AT4X AEV 4WD,2026,petrol,
General Motors,SIERRA 4WD ,2026,petrol,
General Motors,SIERRA 4WD  (5.3 L),2026,petrol,
General Motors,SIERRA 4WD  (Flex Fuel),2026,petrol,
General Motors,SIERRA 4WD (6.2L),2026,petrol,
General Motors,SIERRA 4WD (Municipal),2026,petrol,
General Motors,SIERRA 4WD 4M,2026,petrol,
General Motors,SIERRA 4WD AT4X,2026,petrol,
General Motors,SIERRA 4WD AT4X,2026,petrol,
General Motors,SIERRA 4WD M6,2026,petrol,
General Motors,SIERRA 4WD MUD TERRAIN TIRES,2026,petrol,
General Motors,SIERRA 4WD MUD TERRAIN TIRES,2026,petrol,
General Motors,SIERRA 4WD MUD TERRAIN TIRES,2026,petrol,
General Motors,SIERRA 4WD MUD TERRAIN TIRES (Flex Fuel),2026,petrol,
General Motors,SIERRA 4WD MUD TERRAIN TIRES (Municipal),2026,petrol,
General Motors,SIERRA 4WD MUD TERRAIN TIRES 4M,2026,petrol,
General Motors,SIERRA 4WD MUD TERRAIN TIRES with Sport Mode,2026,petrol,
General Motors,SIERRA 4WD with Sport Mode,2026,petrol,
Honda,RIDGELINE AWD,2026,petrol,
Honda,RIDGELINE AWD TrailSport,2026,petrol,
FCA US LLC,Gladiator 4X4,2026,petrol,
Nissan,FRONTIER 4WD,2026,petrol,
Nissan,FRONTIER 4WD PRO-4X,2026,petrol,
FCA US LLC,1500 4X4,2026,petrol,
FCA US LLC,1500 4X4,2026,petrol,
FCA US LLC,1500 4X4,2026,petrol,
FCA US LLC,1500 HO 4x4,2026,petrol,
FCA US LLC,1500 RHO 4x4,2026,petrol,
Toyota,TUNDRA 4WD,2026,petrol,
Toyota,TUNDRA 4WD,2026,petrol,
Toyota,TUNDRA 4WD Hybrid,2026,petrol,
Toyota,TUNDRA 4WD HYBRID TRD Per,2026,petrol,
Toyota,TUNDRA 4WD PRO Hybrid,2026,petrol,
Toyota,TUNDRA 4WD PRO HYBRID TRD Perf,2026,petrol,
Toyota,TUNDRA 4WD TRD Perf,2026,petrol,
Mercedes-Benz,GLA 250,2026,petrol,
Mercedes-Benz,GLB 250,2026,petrol,
General Motors,SILVERADO 2WD CAB CHASSIS,2026,petrol,
General Motors,SILVERADO 4WD CAB CHASSIS,2026,petrol,
General Motors,SIERRA 2WD CAB CHASSIS,2026,petrol,
General Motors,SIERRA 4WD CAB CHASSIS,2026,petrol,
FCA US LLC,Pacifica,2026,petrol,
FCA US LLC,Voyager,2026,petrol,
Honda,ODYSSEY FWD,2026,petrol,
Kia,Carnival,2026,petrol,
Kia,Carnival Hybrid,2026,petrol,
Honda,MDX FWD,2026,petrol,
General Motors,ENCORE GX FWD,2026,petrol,
General Motors,ENCORE GX FWD (Flex Fuel),2026,petrol,
General Motors,EQUINOX FWD,2026,petrol,
General Motors,TRAILBLAZER FWD,2026,petrol,
General Motors,TRAILBLAZER FWD (Flex Fuel),2026,petrol,
Ford Motor Company,ESCAPE FWD,2026,petrol,
Hyundai,GV80 RWD,2026,petrol,
General Motors,TERRAIN FWD,2026,petrol,
Hyundai,Kona FWD,2026,petrol,
Hyundai,Kona FWD SX2 1.6T 8AT FWD,2026,petrol,
Hyundai,Kona FWD w/ STOP-START,2026,petrol,
Hyundai,Santa Cruz FWD,2026,petrol,
Hyundai,Santa Fe FWD,2026,petrol,
Hyundai,Santa Fe Hybrid FWD,2026,petrol,
Hyundai,Tucson FWD,2026,petrol,
Hyundai,Venue,2026,petrol,
Kia,Niro,2026,petrol,
Kia,Niro FE,2026,petrol,
Kia,Sorento FWD,2026,petrol,
Kia,Sorento FWD,2026,petrol,
Kia,Sorento Hybrid FWD,2026,petrol,
Kia,Sportage FWD,2026,petrol,
Kia,Sportage Hybrid FWD,2026,petrol,
Toyota,NX 350h,2026,petrol,
Toyota,RX 350,2026,petrol,
Ford Motor Company,CORSAIR FWD,2026,petrol,
Mercedes-Benz,GLC 300,2026,petrol,
Nissan,KICKS,2026,petrol,
Nissan,ROGUE FWD,2026,petrol,
Toyota,COROLLA CROSS,2026,petrol,
Volkswagen Group of,Atlas,2026,petrol,
Volkswagen Group of,Atlas Cross Sport,2026,petrol,
Volkswagen Group of,Taos,2026,petrol,
Volkswagen Group of,Tiguan,2026,petrol,
Volkswagen Group of,Tiguan S,2026,petrol,
Volvo,XC40 B4,2026,petrol,
Honda,MDX AWD,2026,petrol,
Honda,RDX AWD,2026,petrol,
Honda,RDX AWD A-SPEC,2026,petrol,
BMW,X1 M35i,2026,petrol,
BMW,X1 xDrive28i,2026,petrol,
BMW,X2 M35i,2026,petrol,
BMW,X2 xDrive28i,2026,petrol,
BMW,X3 M50,2026,petrol,
BMW,X3 xDrive30,2026,petrol,
General Motors,ENCORE GX AWD,2026,petrol,
